SCHEMA_NAME,TABLE_NAME,column_name(data_type)
,CORE_MODEL,REALM_ID(VARCHAR(16777216))
,CORE_MODEL,ENTITY_NAME(VARCHAR(16777216))
,CORE_MODEL,INPUT_MODEL_TYPE(VARCHAR(16777216))
,CORE_MODEL,OUTPUT_MODEL_TYPE(VARCHAR(16777216))
,CORE_MODEL,INPUT_MODEL_VERSION(VARCHAR(16777216))
,CORE_MODEL,OUTPUT_MODEL_VERSION(VARCHAR(16777216))
,CORE_MODEL,STG_TABLE_NAME(VARCHAR(16777216))
,CORE_MODEL,STG_COLUMN_NAME(VARCHAR(16777216))
,CORE_MODEL,CRTD_TABLE_NAME(VARCHAR(16777216))
,CORE_MODEL,CRTD_COLUMN_NAME(VARCHAR(16777216))
,CORE_MODEL,INPUT_ELEMENT_ARRAY_PARENT(VARCHAR(16777216))
,CORE_MODEL,INPUT_ELEMENT_FLATTENED_ALIAS(VARCHAR(16777216))
,CORE_MODEL,INPUT_ELEMENT_NAME(VARCHAR(16777216))
,CORE_MODEL,INPUT_ELEMENT_PATH(VARCHAR(16777216))
,CORE_MODEL,OUTPUT_ELEMENT_NAME(VARCHAR(16777216))
,CORE_MODEL,OUTPUT_ELEMENT_PATH(VARCHAR(16777216))
,CORE_MODEL,IS_PK(BOOLEAN)
,CORE_MODEL,PK_ORDER(VARCHAR(16777216))
,CORE_MODEL,CREATED_DATETIME(TIMESTAMP_NTZ(9))
,CORE_MODEL,CREATED_BY(VARCHAR(16777216))
,CORE_MODEL,REQUIRED(BOOLEAN)
,CORE_MODEL,VALID_VALUES(VARCHAR(16777216))
,CORE_MODEL,DEFAULT_VALUE(VARCHAR(16777216))
,CORE_MODEL,IS_EXTENSION(BOOLEAN)
,CORE_MODEL,TYPE(VARCHAR(16777216))
,CORE_MODEL,PATTERN(VARCHAR(16777216))
,CORE_MODEL,VALIDATION_EXPRESSION(VARCHAR(16777216))
,CORE_MODEL,ENRICHMENT_EXPRESSION(VARCHAR(16777216))
,CORE_MODEL,IS_PII(VARCHAR(16777216))
,CORE_MODEL,GENERATE_HASH(BOOLEAN)
,CORE_MODEL,COLNUM(NUMBER(38,0))